feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,label
1.335532,-0.5071047,0.2916804,-0.03379044,-0.4411452,-0.507961,0.6300826,-0.3018676,-0.1514436,0.02222156,1.176508,0.680511,0.3826003,-0.5635714,-1.381969,0.9495299,1
0.9664471,-0.1407084,0.5418838,0.7814431,0.8311844,0.9213835,-0.4556176,1.514973,-1.246593,0.8617231,0.4939321,0.8736191,1.879008,1.484445,-1.145177,-1.688672,1
0.816889,-1.015012,-0.01240539,0.8397275,-1.643797,-2.10998,0.259299,0.04438589,-0.2458031,0.03853476,-0.8605156,-1.513494,-0.1666549,-0.9717087,-1.643481,0.5056811,1
-0.06139863,0.4065285,-0.9892949,-0.6580588,-0.999043,-0.8866419,0.1954079,-0.7829746,0.3560663,0.3397559,2.025161,-1.392789,0.8879024,-0.08948796,-0.01402973,-1.449864,1
-0.4601938,0.7431973,-0.08247837,0.08105437,-0.2907167,1.15457,-0.02147257,-2.200416,-0.6920726,-1.968797,-3.251438,-0.5301154,1.33356,0.0471199,-1.172546,-0.9406999,1
1.130613,0.1576266,0.04799924,-0.05346179,0.03840026,0.8054057,0.5525673,0.2157047,-1.042868,0.5111088,-0.6842471,1.093846,-1.271051,-0.137621,-0.007358286,-1.324646,2
1.721972,1.460407,-0.4635838,0.7717212,0.3786761,-2.613559,0.250398,-0.06134408,0.08321735,-1.076875,-0.269347,-0.1782588,1.188094,0.3344271,-0.00555503,1.52897,1
-0.5552479,-0.3894303,-1.816755,1.569106,0.9643323,0.9168481,0.6688985,0.1101486,0.2154889,-0.2520066,-0.2036004,0.05430361,1.511829,0.5556879,-0.05846013,-0.5793921,0
-0.6349985,1.602705,0.5066873,0.06755055,-0.3461818,-1.109053,-0.06686155,0.8736581,-0.3925372,-0.2272426,-0.2210343,0.1095944,-1.593011,-0.2353984,-0.8543955,0.884585,0
-0.7705986,0.5770468,1.524437,-0.3135962,-0.6015763,0.1914323,-0.002029028,-0.9936163,0.4609194,2.015516,-0.258112,-0.2028762,-1.044932,0.3190885,-1.246976,-1.106931,2
1.279667,-0.9054531,1.081358,1.524358,0.2593265,0.5533914,1.952251,-0.1967284,-0.5930058,-1.353231,0.04170708,1.479144,0.9595954,-0.9420912,-0.8553754,-0.5041713,2
0.2922681,-0.2053114,0.214454,0.2967394,-0.2987736,-0.04017394,0.2065924,-0.0839697,0.5035208,1.870876,0.5919723,0.05581054,-1.686119,0.3879571,-1.946678,-1.409034,0
0.8546392,0.7062351,-0.149939,-1.710011,-0.3713485,-0.6787383,0.6368408,2.25773,0.2169305,-0.7793111,-1.170552,-0.05609428,-0.1767932,-1.151519,0.1163552,-1.150913,0
1.112107,1.062651,1.084751,-0.4740505,0.5145206,-0.1320695,-0.3888121,-0.3391457,-1.299715,-1.443864,0.7943148,-0.1912354,0.2164249,1.00171,-1.733132,-0.7841301,1
0.1753348,0.3920948,-0.3770745,1.029179,0.2103949,-1.213382,-0.9307638,0.8054711,0.4638315,-1.899061,1.347712,0.5980271,1.343343,-0.3837009,-0.2957062,-1.126457,1
2.53693,-0.1754542,1.587533,-0.6472924,0.1638412,-1.671353,-0.3828672,0.9837549,-1.251744,1.072228,0.3372378,-1.043951,-0.5015973,-0.4590657,-0.04951934,-0.536144,1
-0.8272879,-0.3045877,-1.02689,-1.289527,-0.04817648,0.8828743,-1.529372,0.003508152,-0.6499562,-0.9771454,0.8534377,-0.5181697,1.498302,-0.7798393,0.386502,-0.227283,1
-0.7540218,0.587675,-0.1549826,0.6032106,-0.04729151,-1.085816,-0.1020692,0.05195517,0.958463,-0.906269,-0.03932985,-1.721879,0.6514931,-1.081483,-1.80636,-0.05921683,0
1.105685,-1.524447,-1.088036,-0.7432749,-1.129497,0.3794279,-0.8073674,-0.7215148,0.5833054,-0.7555146,0.4327801,-0.9713852,-1.212139,-1.835449,1.861203,-0.320259,2
0.2439334,-0.03104951,0.1599618,0.04968648,1.908217,-1.038927,-1.557462,-1.01196,-1.334709,0.7469621,0.8203782,-0.9613156,-1.390436,-0.3547966,1.391124,-2.819569,1
0.5266268,-1.075755,1.040367,-1.077924,-0.2854158,-1.506279,-0.9772578,1.385839,0.8205787,-0.4016682,-0.8701724,-1.893807,-0.3936567,-0.03090325,-0.08405436,-0.09379192,0
-1.12181,-0.06627388,-0.03867338,1.290562,1.866733,-0.136989,-0.7663059,-0.06498213,-0.6076213,-0.7424338,-0.05865015,-1.043304,0.6061068,-0.1039155,0.2500083,-0.18294,1
-0.7272545,-0.9479595,-0.237276,-0.5487604,0.2339013,-0.004431703,-1.362307,0.0671213,-1.34286,-0.6164776,-0.2943536,-2.075273,0.09150745,0.1509833,-0.1580242,-0.4243173,1
-0.3736037,-0.9765395,-0.2697004,-0.5526118,0.09168539,-1.204136,0.2355899,0.1432189,-0.1415628,-0.4392048,0.5523399,-1.664602,0.4604533,0.2430375,0.2833763,0.3833126,1
-0.6536444,-0.2594601,0.6370583,0.4306392,0.2067128,-1.51432,0.5378871,1.169471,1.009671,0.233878,-1.557679,0.9425448,-0.1472546,-2.53252,0.3772074,-1.492172,0
-1.296441,-0.6349589,1.272591,-0.3708453,0.2709916,1.747968,1.59403,-0.1033534,-0.241521,-1.260871,-0.6944581,0.4253584,0.3957308,0.1102382,0.9948016,-0.772368,2
-0.05607652,0.731243,0.5841459,1.070946,0.3970204,-0.3094026,0.3621923,-1.002595,-1.639459,0.5806718,-0.05514033,0.3084096,-1.697684,-0.365114,-0.5998571,-0.8642121,1
-2.255015,-0.3348735,0.8973043,0.3809977,-0.6009466,-0.01487597,0.7568001,-2.760418,-0.1245365,0.5432001,0.6821286,1.70073,1.135046,0.3125628,0.301976,0.7869453,2
-0.539327,-0.04018806,0.906239,1.957445,-0.1592673,-0.04840069,0.1984802,1.343204,-0.0303133,1.469359,-0.9666572,-0.1860363,-0.1981652,0.7865057,1.04526,-1.509444,0
-0.9151176,0.3368525,-0.6586937,-1.522428,1.03848,0.4939701,0.4931775,-0.4754457,1.028938,-0.23996,1.096435,-0.9116651,-0.8541355,0.2046632,-0.7023321,0.675451,1
0.2600878,-0.9229712,0.0728656,-0.3512777,0.9158328,-0.632553,-0.4391731,1.211237,2.238593,1.999009,0.06322301,0.2188547,1.533459,-0.1244348,-0.9763491,0.1168756,0
0.4515168,-0.8291496,-1.646231,-1.43673,0.6654293,-0.7583765,-0.1413471,0.2125587,0.6191409,-0.3349028,0.4987157,-0.8900603,-0.361714,-1.024416,1.131767,-0.02708323,0
-0.7393075,-0.3523718,-0.2217285,0.7005198,-1.595636,-1.037206,-0.3781072,2.532306,0.9556789,-0.1114517,0.7119996,2.057436,-0.2337439,-0.3664134,1.211944,0.4941755,0
0.6713331,-0.5082224,1.924203,1.709591,0.5659478,0.6842898,-2.027261,0.6377098,-0.1941086,0.4339057,0.6824594,-0.3412918,-1.690482,0.3678746,-0.7413837,-0.3301941,1
-0.6045098,-0.3415743,-2.309521,1.216947,0.2533461,1.111399,1.979842,0.02259312,-1.802436,-0.8938869,-1.206905,-0.5018746,0.07964798,-2.002187,0.3424755,-1.510357,0
0.2973652,-0.1094911,-0.3136312,-0.07304306,-0.539778,-0.6124715,-1.682756,-0.02962732,1.845534,1.980495,1.321818,0.7058016,-0.6764801,1.442751,-0.05612756,-0.06887551,0
-0.2912271,0.0919619,-0.4352149,-0.08378217,-1.084599,-0.3736637,2.280556,-0.06959403,-0.2386606,0.5323743,0.7081218,-1.113769,-0.2071588,0.9182758,0.2698376,0.121954,2
1.554018,-0.6777728,0.08274589,-0.5200587,1.490308,-1.95186,-0.6701417,-0.529157,0.6635396,0.6062755,1.395194,-1.574033,0.750475,-0.2932799,-0.6656252,0.5395685,1
-0.9201396,-2.076913,-0.3702185,-1.497771,-0.6489158,0.3715548,0.3119997,1.586899,-0.1996547,-1.533332,-0.7560968,-0.9193842,-1.217825,0.4353672,-0.6452323,-1.977373,2
0.6969228,-0.1114266,0.3568373,0.1057215,0.6316547,0.03801875,1.236202,0.4249828,0.3920676,0.4098669,-1.456638,-0.1646357,-0.2593165,0.2075467,-1.358694,1.634115,0
0.1043887,-1.211318,-1.708887,-0.2812873,-0.08967541,-0.7182921,0.09211383,-0.6411757,0.5516583,-0.7245418,-0.03850022,0.9788392,2.571669,-1.007643,-0.4645078,-0.8398357,1
0.7843283,-1.148099,-0.4843571,-0.02960128,-0.9786785,-0.957325,-0.4756229,-2.10044,-1.445478,-0.4130341,0.1482306,-0.18576,-1.773969,-0.4637863,0.7984377,0.5558655,1
-0.07874786,-0.8873699,0.6312163,-0.578929,-1.169248,-0.8021863,1.448345,0.22018,1.159247,-0.4793363,0.9381493,-0.601504,-0.1574274,2.48635,0.7671486,-0.5011704,2
-0.08481904,0.3262234,1.210458,-0.4891331,-1.741319,-0.2796418,0.01538546,0.109538,1.31669,0.3166871,0.812917,-1.101114,0.8679015,2.09622,0.7729093,0.2535557,2
0.1539882,1.787142,-0.9271815,-0.1111024,0.4602076,0.7440011,-0.4373279,0.3073214,-0.2779215,0.1204711,-0.1320915,-1.141594,-0.02111359,0.8771515,-0.9670183,-0.2410917,1
0.6647801,-1.069865,0.1826383,-1.06013,1.13463,2.312821,2.022255,-0.2191807,0.7401991,0.1209977,0.1021059,1.547757,-1.31918,1.055295,-0.048976,1.408541,2
0.1872334,-0.672672,0.2771404,0.7359671,0.03576367,0.4880383,-0.5216752,-2.133884,0.9000236,0.6991597,0.1481784,0.06841056,1.036296,-0.4571067,-0.7065341,-0.1885499,1
1.189097,-1.387113,1.19183,-0.6392528,-1.100744,1.260062,-0.09689009,-1.300234,-0.3587331,0.9310524,1.192074,-0.4270987,0.4063208,0.7140846,-0.6446265,0.3550361,1
-0.03187792,-0.5360244,-0.4921479,0.06703448,0.02985349,-0.5654899,-0.4259451,1.113337,0.2138271,0.8850943,1.201822,0.5888423,2.270886,-0.825304,0.8084096,-0.318144,0
1.855783,1.70044,-1.954211,-0.9688662,0.6643129,0.7898672,0.7365642,-0.07086533,0.4551208,0.6530215,-0.07787127,1.027302,-2.259497,0.6337935,-1.034053,0.9586778,1
-0.2286844,-0.8887873,0.3739021,-0.9113335,-0.9127679,-1.567294,-0.02670776,0.4968235,1.023026,-0.1417279,1.047855,0.01796097,-0.09328848,0.5735629,1.058393,-0.3414344,2
-0.2437616,-0.1608314,0.08276913,-0.9004082,1.028006,-0.4004096,0.4624435,-0.8254726,0.358804,0.391593,-0.4206814,2.02089,0.37104,1.776929,0.9591389,-0.6622748,2
-0.3821868,0.4361021,0.06117253,0.04946114,-0.286205,-1.808476,-0.2254326,-2.218122,0.3718196,-0.7260578,-0.7154167,-0.2193038,0.2726724,-1.432006,-1.748601,-1.066066,1
-2.041728,-0.9668496,1.590883,-1.056586,0.6514052,-1.371635,0.2991202,-0.3197338,-0.05981278,0.5687776,1.75624,0.1947064,0.124359,-0.9733677,0.5833396,-0.2460723,2
0.8320071,-0.04370645,1.740856,-1.982916,-0.2965994,0.8814816,-0.3506922,-0.7921731,-0.2658806,-1.379929,0.1189538,2.440462,1.145031,-1.109009,-0.8733411,-0.4047278,1
1.004416,-0.821487,-0.6902314,0.8847494,0.8646526,-0.3738147,-1.117763,-1.549745,-0.6989901,-2.230529,0.7498199,-0.6300307,0.4812937,1.868325,1.172996,-1.151135,1
0.869249,1.157857,-0.7463565,-0.9532969,-0.1096919,-1.601423,1.470735,-2.405364,-1.106807,-0.2695652,-0.2270871,0.1661242,0.2714486,-0.213612,1.136886,-2.139376,1
-0.0001645139,-0.7145844,0.1325134,0.2207598,-0.9118289,-0.640949,0.7925867,0.3490563,-0.6802484,2.039891,2.309178,-1.462462,0.3017949,2.508994,0.7838987,0.2210601,1
-0.2080568,-0.5411943,-0.2125147,-0.5507294,0.7449083,-0.3981537,-0.4411515,-1.202161,-0.04958988,-0.8941216,-0.1807502,1.041816,0.3659249,0.5047253,0.3560909,0.05917573,1
-0.1273282,-0.3078062,0.759117,-1.08424,1.340723,0.03407806,-0.7487004,-0.4891461,-0.6769904,0.1602065,-0.7178431,1.142131,-0.781639,-2.272522,-0.7309985,-2.008521,2
-0.03986885,1.059158,0.6477598,-1.33759,-0.7622553,1.778634,0.3185114,0.004118693,1.056063,2.452741,1.296573,0.1394152,0.3546882,0.6170798,-0.6126985,-1.05872,1
0.05244908,-0.9472112,-0.06146242,0.09612304,2.341037,-0.85105,-0.1217889,-0.1643029,0.4373105,1.046724,-0.4904835,-0.821352,-1.640711,-0.9262045,0.5364408,0.04564704,0
-1.015434,-0.3727675,0.03147295,0.5036789,-0.5933943,-0.2504401,-1.818435,-1.151386,1.617716,-2.188141,-0.3378026,0.2191982,-0.3743492,-0.8081575,-0.06107853,-0.004965402,2
-0.08211741,-1.877712,-0.1474036,-0.8551127,-0.5477359,0.2269748,0.6407288,0.8967773,-0.4964131,0.9240028,1.173728,1.136638,1.389768,-0.1456825,-0.1741319,0.8250508,2
-1.366524,0.209429,-0.530559,-0.368789,-1.741514,-0.8905443,-0.02049393,0.8884532,0.9900266,-0.08032648,-0.1892884,-0.8306792,0.4023565,-0.247578,0.6058846,1.751687,0
-0.03237496,-1.497355,-0.8608505,-1.458147,-1.19711,1.305271,0.2266596,-1.520174,0.6536322,1.260375,-0.3598745,-0.6759908,-0.3373777,0.2846065,0.6399701,1.182217,2
1.212478,1.185404,1.361921,0.6613878,-1.530907,-0.1309642,0.3139205,-0.3831263,0.9112608,-0.360214,-0.925747,1.444299,0.6660043,0.2192538,0.9267091,1.062534,2
0.3410358,-2.457661,-0.6755894,-0.4565791,-0.9842009,0.1986774,1.192202,-0.4849056,-1.134833,2.028035,-0.4514376,-1.232965,0.2376772,0.4256826,-0.7050501,0.7904536,1
-0.4873194,-0.9229509,0.1785909,0.770769,-0.6338515,0.3306256,-0.09349164,2.824434,-0.7085597,1.384172,-0.05234629,-0.126762,0.7216651,0.8939906,1.267016,0.3286517,0
-0.6003964,-0.5376461,0.5096532,0.5808999,1.398051,0.4184304,1.060168,1.516771,0.1648005,-1.485559,-1.179277,-1.437803,1.59159,-0.8474086,1.231842,0.5857319,0
1.715269,1.003094,-0.1023703,-0.2000304,0.08516772,0.1752609,-0.5307437,-0.0326283,1.60932,-1.702138,0.2584881,-0.9069528,0.1870371,0.8398558,-0.05761018,0.7729869,1
-1.589839,1.106989,-0.6031293,0.6224081,0.1824481,-2.585562,-0.7560641,0.2205084,1.553976,0.2872683,0.2576959,-1.412684,1.431147,1.807077,0.02857504,-0.2197571,0
-1.61905,0.883321,2.702279,0.7171131,1.263703,0.5420873,-0.9850159,1.336673,-1.234575,-0.2106649,0.2788517,0.8829097,0.4159857,0.3868345,-0.7614881,-1.289371,2
0.06148067,-0.7101948,-1.307786,-1.265947,-0.4901285,-1.852579,-1.347469,-1.635137,0.1822595,0.4079842,2.007141,-1.49753,-0.679597,0.9126114,-0.2167738,-0.3269979,1
1.70917,-0.3384061,-1.156195,-1.31694,0.3356943,0.3052416,-1.371702,-0.9853963,0.5347126,0.5772668,-0.6432221,0.6222162,0.5718546,-1.783082,-0.3120638,0.4151256,1
-0.5730757,-2.138932,-0.2830147,0.7520931,1.580406,-2.190783,2.613321,-1.127136,0.9569709,1.234198,0.9830173,0.1496185,-1.161418,0.6265588,-0.7152331,-2.522695,2
2.828899,0.708102,1.818077,-0.9116228,1.467503,1.589869,1.55455,-0.02120633,-1.202462,-0.1773128,-2.202769,-1.702012,0.09193878,-0.9913985,-0.1644469,-0.1089998,1
1.930727,1.297627,-0.04487259,1.208899,-0.7797132,-0.336897,0.9102243,-1.241661,-0.2789807,-1.320846,0.1174724,1.632516,-0.7520969,0.2258795,-0.8973219,-1.149549,1
-1.235849,1.454752,2.362436,0.4830437,-0.716293,0.7048916,-0.3343235,0.8013983,0.2909936,0.2797042,0.6072761,-0.5794936,-0.4043678,-1.721246,-0.4418694,-1.422333,2
-0.1446812,-0.9576309,0.1012344,0.4532393,-1.420123,-0.8132791,-0.9433119,0.7464934,1.706362,0.8515366,-0.3494189,1.465006,-1.514108,1.499358,-0.6562142,-2.780293,0
2.650805,1.578023,-1.031884,0.1690086,-0.2144995,0.1022208,-1.483286,-0.681494,0.4679613,0.2226962,1.199239,0.07975025,2.349222,-0.7157316,0.2593324,-1.916318,1
-1.253133,1.328526,-0.9428028,0.5306752,-0.06177086,-1.044549,-0.3482493,-0.5142336,-0.4873659,0.7536082,0.6523445,-0.5774257,-0.9071028,0.2823373,-0.1000154,1.028282,0
2.655293,0.8429244,-0.03473027,-0.172044,-0.8566941,-0.9066728,-1.003415,-0.3953352,-0.4271435,0.7437307,-0.398999,-0.1974497,-1.218274,1.644576,0.5069864,1.788873,1
0.7968858,1.489636,-0.2484875,0.7171608,2.705506,-1.223534,1.176269,1.697944,0.4211276,0.7652124,1.279634,-0.6702952,0.4174117,-0.888005,-0.691247,-0.6315628,0
-0.1462683,0.1497756,0.4630332,-1.450909,2.026775,1.183529,0.7435628,-0.3665304,-0.09130666,0.5611664,0.42144,-1.721062,0.7592793,2.988248,-1.89329,1.019678,1
0.378502,-0.1144152,1.407016,-1.213596,0.167095,1.501955,-0.2020985,-0.429263,0.1179772,-0.4567553,1.589169,-0.9318478,0.8969313,-1.286684,0.6875724,-0.1077995,1
-2.655162,-0.006143153,-1.096784,-0.4567815,1.581552,-1.148581,-1.08995,1.480883,0.1191969,1.584731,0.3326074,-0.9070647,-0.06816737,1.264128,0.9675052,0.0009115321,0
0.05014367,-0.1157004,-0.5946672,1.98588,0.00739317,-1.162909,-0.4904175,0.7468199,0.6595594,-0.140999,-0.6872569,0.02458212,-1.720688,-1.338443,0.8213996,-0.4927688,0
0.3854839,1.252593,0.6679125,0.02118965,2.187982,0.6864988,-0.3644603,0.7526968,0.4193465,-0.879986,0.0750152,-0.1696242,-2.021552,-0.1772515,-0.2910554,-0.4506393,0
-1.691097,-0.36465,-0.04080209,0.1047955,-1.16736,0.6502267,-1.249671,-0.2300412,1.341659,-0.7117573,-0.5250017,1.103353,-0.3947135,-0.3052564,0.2273587,1.078419,2
-2.264626,-0.8511711,-1.034913,-1.114413,-0.8777835,-0.8615483,0.3092161,-0.9121277,0.1255843,0.4114206,-0.7480532,0.1338762,1.677519,0.330054,-0.6529794,-0.06652061,1
-0.937942,0.2771362,0.8824492,-0.8379443,-0.2139438,1.137296,-0.5084857,0.1921025,-1.046131,-0.8367858,-0.5234632,2.17632,-0.4090501,-0.5299587,-0.5631935,-0.1656024,2
0.6559301,0.1894904,2.057815,0.2137944,1.447404,0.2767111,0.6055815,-1.4436,-0.1270594,-0.06894774,-0.242957,-2.152879,0.8806245,-0.3871503,-0.4380713,-0.2551714,1
-0.2280792,0.4070984,-1.271032,-0.9310421,0.2906333,0.1455828,-0.3766548,-0.5739124,-0.8344247,-0.05835516,1.180732,-1.058051,1.523318,0.8439814,-0.4529637,0.7830749,1
-1.465903,-1.731575,-1.289782,-0.4097465,-0.32541,-0.5151424,0.09942269,-2.135154,0.4953494,-1.419301,-0.6608506,-0.4128505,-1.156211,-1.371,-1.006082,-0.01192364,1
0.5899822,0.5642352,-0.994491,-0.7915772,-0.9206032,0.4498123,-2.03742,1.238339,-0.4848049,-0.7835249,0.3394538,1.032619,0.3425833,1.052745,0.1343588,1.229639,1
1.24516,-0.09947879,1.439206,0.1647337,0.08689322,-0.9214737,-0.28878,0.7775828,-1.312647,0.649624,0.3486159,0.2775614,-2.206492,-0.1032429,0.64826,-0.762955,2
0.0903067,-2.378073,0.671393,-0.6624328,0.871357,-1.842786,0.6922674,-0.2369393,0.8076038,-0.9257098,-0.618457,2.242451,-0.8299521,-0.7060272,-0.276582,-1.022559,2
1.190457,1.725013,-0.7041061,-1.726032,1.171977,1.108391,0.8216592,1.156511,-0.8675253,-0.1684964,-1.38411,-1.418163,0.9811013,-0.6719133,2.279572,0.07418011,0
-0.6404248,0.7978852,1.801262,0.486131,-1.217145,0.3710028,1.375598,-0.493241,-0.7736419,1.016448,0.1399677,-1.102542,-0.3797466,-0.7556625,0.2962687,0.1096845,2
1.150447,0.7096651,-1.563534,0.4069905,0.8969323,0.4558793,1.03006,-0.549577,-0.9508318,0.93007,-1.065465,-2.159538,1.0253,-0.7241849,-0.3060662,-1.397979,1
-1.325528,-1.156589,-0.3606499,0.3699991,-2.297811,0.7521732,-1.181998,-1.066312,0.6778554,-0.07463393,-1.536434,1.844593,-0.8606216,0.247316,0.1998903,1.411327,2
-0.4556688,1.00809,-0.7418895,1.122129,-0.7629846,-0.3622091,1.895967,0.3169714,0.109759,2.242049,0.3613567,-0.8161373,0.734628,-1.181681,1.128317,1.205978,0
-0.5729592,-0.6279019,0.1765043,0.01415515,-0.9776876,0.5680879,-2.041876,-0.4328595,-0.403941,-0.2732655,0.3072239,-1.228022,0.5885151,-0.180154,-0.6502161,-1.366826,1
-1.183109,0.3603248,-0.9638491,0.0641987,1.061983,1.032643,1.560397,-0.2962933,-1.085149,1.020525,0.3096038,1.123951,0.01105607,1.195646,0.8463874,0.7164209,2
0.5035229,0.397699,0.2330358,0.2259062,0.9901946,-0.5119797,1.735685,-0.1062425,0.9853822,-0.09024119,-0.246666,2.032242,-0.3093448,-1.277217,-0.7140822,-0.317228,0
2.155192,0.2067559,0.9347134,-1.0016,0.3526083,0.6714783,1.801627,-0.6962705,0.6034895,0.3025839,-1.021715,-0.01945624,-0.2634749,-2.325366,0.5986691,0.5402434,2
-0.4389348,-1.338562,1.479881,0.2659993,1.016701,1.410322,-0.5209068,0.8121545,-0.241149,-0.06254864,-0.08561562,-0.001318933,1.11396,0.1238275,-0.1537327,-0.2765372,2
0.3413141,-0.8948681,-0.5026584,-0.05228058,-0.5658483,-0.1184762,-0.6107768,2.003958,1.329061,0.4499522,-0.05361852,2.190764,0.3229529,-0.08684551,0.3031264,0.3059432,0
1.410318,-0.01896469,2.099325,-0.8820212,0.6940502,-1.001827,1.817101,-0.3305655,-0.05818927,0.9242369,1.255341,-1.111877,-0.346159,-1.394923,0.1373052,-0.1013725,2
-0.348934,-0.6844614,-0.3859065,-0.7463953,0.5289618,1.51595,-1.930724,-0.1159675,-0.4181718,0.4923686,-0.951767,-0.1464358,-1.039592,0.6966978,0.09927463,-0.1614746,1
0.3701879,-0.2464833,-1.553821,0.5957304,0.2882702,-0.1540796,0.9849249,1.218496,-1.092283,-0.7810761,1.547285,1.418852,-0.7383931,-1.18071,-0.6375676,-0.4981164,1
-1.584066,0.03116725,-1.280179,-1.21039,0.9161064,-0.6831893,-0.07147118,0.6290963,0.8132241,-0.3370201,0.04411748,-0.825406,1.74738,0.6499498,-1.10324,0.004057969,0
0.7135517,0.479411,1.82917,1.372319,-0.5393065,-0.0891805,-1.281541,0.249453,0.1510211,2.703483,0.09757511,-2.093252,-0.6720865,0.1123492,-1.256015,-0.8672077,0
-0.3656358,0.3418116,-0.165342,-0.8892325,0.7876812,-0.5396374,-0.4993089,-1.379652,-0.7860157,0.6517716,-1.617655,-0.0711737,0.717725,-0.3771086,0.2397905,-1.116794,0
1.310278,1.10105,0.2354991,-1.755079,-1.045962,0.976703,1.713121,0.2966155,1.247319,-0.6077617,-0.1893872,0.001147904,0.4230967,-1.52881,0.9406669,1.322547,2
-1.148735,-1.35534,0.3505601,-0.6543119,-2.37083,0.8085835,0.1555944,-0.476647,2.113444,0.1389043,-0.7534301,0.1011518,-1.040069,-0.7617068,0.3863628,-0.5541982,2
-0.4509741,1.668945,0.8596488,0.8028258,0.5288167,0.4842016,1.456585,-0.01954599,1.855514,-0.9514017,-0.2550377,-1.378596,-0.343773,0.5184425,1.451247,-0.6633275,2
0.005304473,-0.3592104,-0.7386,-1.189379,0.06066117,-1.732065,0.1105432,0.02095194,-0.6577503,-1.010904,-1.384307,1.871328,-1.341972,1.557702,0.6001648,-0.364021,2
-1.157077,1.042493,1.729651,-0.9340244,-0.2987452,1.051624,0.3357834,1.999961,-0.5701445,0.5422912,-1.250928,2.095892,-0.7303408,-2.207967,-0.125764,-0.1394306,0
1.915572,-0.3388197,-0.01264374,0.5934389,1.586271,-0.06322961,1.039478,0.5180846,-0.2962353,0.07755444,0.02867388,-0.9160246,1.213681,-1.38562,1.171169,0.9544193,1
-0.09304926,-0.7654443,-0.2264251,0.4727747,0.7430584,0.286919,0.9921364,-0.5574346,0.2345764,-1.568346,0.7636266,0.1531762,-0.4155742,1.161542,0.6915262,-2.816394,2
0.03988325,-1.455024,1.06666,2.489075,-0.5185335,0.07457915,-0.2510336,0.3508131,0.644549,1.287194,-0.9874213,1.571635,-0.9315138,0.2770887,1.158577,0.7131987,2
-0.938575,-0.7019236,-0.4623309,-0.05116928,1.146953,-1.291811,0.4667015,0.6099724,0.5582887,0.4663063,1.518318,0.4878083,0.8569592,0.5635465,1.793113,-1.899805,2
1.282109,-0.2610308,-0.2807169,-0.9694768,-1.868695,-0.3818949,-0.6872933,0.494174,-1.472263,1.431613,0.2719339,-0.2479027,-0.7094234,-0.7872071,-1.130087,-0.5443607,1
0.006050415,-0.1773635,-1.414488,-0.2658283,-0.8931829,0.1598822,1.864652,0.6250227,-0.3131199,-1.624883,-1.414724,-1.686723,0.7259685,-0.7650694,0.06260026,-0.6220142,2
